User_ID,Age,Gender,Total_App_Usage_Hours,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location
84,26,Male,11.91,13.89,19,0.2,3.58,0.44,Chicago
85,41,Male,4.12,11.66,5,2.94,4.79,4.68,Los Angeles
86,18,Male,4.95,10.03,7,1.99,2.14,4.13,New York
87,25,Male,5.22,7.92,21,4.87,2.38,3.96,Chicago
88,41,Male,6.12,6.84,14,2.72,4.49,1.0,Houston
89,28,Female,10.2,2.1,29,1.38,2.63,4.03,Chicago
90,34,Female,3.59,6.19,9,3.55,3.54,4.25,Phoenix
91,25,Male,9.54,12.83,11,1.36,1.26,1.45,Houston
92,52,Male,5.46,11.5,8,4.52,2.23,4.76,Houston
93,52,Female,7.62,3.81,28,1.87,0.62,0.25,Chicago
94,50,Male,7.96,7.07,19,2.75,1.03,0.75,Phoenix
95,22,Male,5.1,11.62,18,0.25,0.0,2.69,New York
96,59,Male,6.64,1.88,25,2.13,0.2,2.88,Chicago
97,56,Female,5.54,6.04,5,4.16,4.89,3.23,New York
98,58,Male,1.76,12.07,23,4.03,1.21,0.08,Chicago
99,45,Female,5.81,6.25,28,1.12,3.32,4.8,New York
100,24,Male,2.07,2.01,6,1.13,4.2,0.22,Chicago
101,26,Female,5.46,8.05,12,4.09,2.75,0.72,Houston
102,25,Female,7.52,12.2,7,4.65,0.77,0.07,Los Angeles
103,29,Male,7.37,8.67,23,0.48,3.64,2.83,Houston
104,51,Female,8.29,3.94,24,2.25,3.0,4.66,New York
105,50,Male,2.05,6.0,12,1.69,3.66,3.33,Phoenix
106,40,Female,8.17,6.85,14,4.35,3.85,4.11,Houston
107,41,Male,4.43,8.53,12,0.42,4.88,0.07,Los Angeles
108,54,Male,5.39,10.87,15,1.06,2.87,2.71,New York
109,52,Female,10.44,2.29,13,3.76,1.71,2.3,Houston
110,57,Male,1.1,12.57,24,0.26,3.24,2.49,Chicago
111,39,Male,7.47,1.16,18,2.46,0.34,0.36,Phoenix
112,44,Female,7.59,5.81,10,2.21,4.49,3.42,New York
113,52,Male,5.36,1.36,10,1.67,0.6,2.52,Houston
114,18,Male,3.61,6.11,29,1.97,1.64,3.83,New York
115,52,Female,3.58,7.84,27,2.65,4.08,2.43,Chicago
116,54,Female,10.72,7.65,10,0.81,2.99,0.75,Los Angeles
117,31,Male,5.86,3.15,15,2.86,1.97,3.24,Houston
118,20,Male,4.64,9.39,29,4.03,2.37,0.86,New York
119,18,Female,5.94,1.58,4,3.8,4.27,4.36,New York
120,22,Female,8.36,10.9,14,0.77,1.7,3.07,New York
121,43,Male,2.6,13.31,12,0.75,4.35,0.79,Los Angeles
122,31,Female,5.94,5.42,14,1.34,0.44,4.81,New York
123,56,Male,7.47,7.72,13,1.81,3.88,2.59,Phoenix
124,44,Male,11.43,5.93,17,2.04,4.24,0.36,Phoenix
125,26,Male,3.78,1.09,18,3.4,0.91,3.13,New York
126,32,Male,4.95,6.02,19,0.28,2.15,1.27,Phoenix
127,32,Male,5.17,11.29,28,0.17,0.83,4.02,Houston
128,43,Female,7.66,8.75,4,1.96,3.53,4.09,Phoenix
129,59,Female,4.92,2.32,20,3.49,2.68,4.89,New York
130,30,Female,6.87,12.01,14,0.97,3.18,2.51,Chicago
131,49,Female,9.6,7.9,21,3.21,0.98,2.27,Houston
132,56,Male,8.76,11.94,28,1.3,1.06,3.77,Los Angeles
133,49,Male,5.91,8.54,25,4.43,0.21,0.66,New York
134,21,Male,10.51,8.28,20,4.48,1.61,2.73,Los Angeles
135,47,Male,7.14,2.37,19,1.49,2.8,2.73,Chicago
136,54,Female,6.94,3.18,8,1.15,4.29,0.45,Los Angeles
137,40,Male,1.38,13.64,27,2.06,3.33,2.09,New York
138,56,Male,11.85,3.97,17,1.2,2.18,4.27,New York
139,32,Female,2.35,13.71,5,3.36,4.77,4.28,Chicago
140,46,Female,3.54,7.91,8,4.13,3.6,0.5,New York
141,53,Female,1.57,2.77,5,3.37,4.65,0.45,Chicago
142,30,Female,8.04,2.29,3,4.12,2.64,1.31,Chicago
143,49,Male,3.47,3.72,15,1.98,1.29,4.37,New York
144,24,Male,2.98,13.03,23,0.78,0.26,0.64,Phoenix
145,39,Female,1.97,6.38,28,3.69,3.63,3.6,Chicago
146,45,Male,2.14,6.14,16,1.8,0.61,0.51,New York
147,19,Male,7.43,5.07,15,3.36,1.51,3.12,Phoenix
148,59,Male,8.57,2.91,29,1.35,2.66,1.78,Chicago
149,23,Female,5.37,7.34,6,0.41,2.82,3.94,Phoenix
150,45,Male,6.28,2.69,9,4.96,3.0,1.17,Houston
151,45,Female,8.55,11.86,24,0.78,0.83,3.2,Houston
152,37,Male,1.19,5.82,12,4.94,1.9,1.18,Phoenix
153,47,Male,4.55,5.87,9,4.89,3.09,3.57,Chicago
154,28,Male,11.7,7.16,23,3.97,4.85,4.37,New York
155,45,Female,7.38,6.77,17,3.3,3.64,0.63,Los Angeles
156,42,Male,3.8,13.93,17,2.89,4.61,4.33,New York
157,56,Female,6.74,8.09,6,4.33,3.81,2.97,Los Angeles
158,50,Female,4.77,2.15,25,1.45,2.96,0.64,Los Angeles
159,18,Female,6.85,8.89,25,2.34,0.96,2.14,Chicago
160,44,Male,2.38,2.97,8,3.1,3.33,0.8,Phoenix
161,30,Male,2.46,1.4,26,2.06,3.12,3.5,New York
162,58,Male,2.58,13.62,22,2.14,3.01,3.79,Phoenix
163,20,Male,11.34,11.06,28,1.65,2.45,0.53,Houston
164,56,Female,9.06,13.74,7,2.82,2.64,2.53,Chicago
165,23,Female,2.79,7.21,22,4.25,1.67,4.07,Chicago
166,25,Female,3.07,7.92,14,1.01,2.6,4.68,Houston
167,44,Male,9.04,3.19,3,4.67,0.99,2.57,New York
168,26,Female,2.72,4.21,10,3.45,4.03,4.75,Houston
169,54,Male,3.58,11.9,3,4.12,0.93,2.68,New York
170,50,Female,11.6,5.63,7,2.78,0.42,1.97,Los Angeles
171,59,Male,3.81,11.75,24,3.9,2.18,4.24,Chicago
172,41,Male,8.28,10.22,8,0.08,3.29,2.46,New York
173,32,Female,11.76,3.3,23,4.09,2.19,2.36,Phoenix
174,49,Female,5.12,7.6,5,0.2,1.38,2.45,Phoenix
175,49,Female,1.19,9.81,17,4.45,2.79,4.23,Chicago
176,41,Female,3.69,4.06,7,4.96,1.74,4.16,Houston
177,58,Male,10.14,11.8,26,1.47,4.66,2.02,Houston
178,29,Female,10.51,8.08,16,1.05,4.61,1.67,New York
179,56,Female,9.45,3.15,20,3.83,2.51,2.46,Houston
180,19,Female,2.24,8.58,18,1.27,1.64,2.86,Chicago
181,20,Male,9.75,14.0,8,4.33,3.69,1.19,New York
182,54,Male,11.11,2.96,27,0.51,0.18,3.97,Los Angeles
183,34,Female,7.61,11.62,26,0.63,2.37,2.43,Houston
184,19,Male,11.35,3.7,16,4.9,1.68,1.67,Houston
185,19,Female,10.1,11.17,29,3.37,4.6,0.53,New York
186,45,Male,8.34,10.55,26,4.23,0.06,1.19,Phoenix
187,40,Male,7.35,4.91,10,1.62,2.76,4.75,Houston
188,54,Male,4.83,5.24,9,3.38,3.7,1.53,Chicago
189,49,Male,2.75,11.3,10,2.97,2.43,0.84,Houston
190,50,Female,7.65,7.0,15,3.02,0.43,2.3,Los Angeles
191,18,Female,4.5,10.5,8,3.41,4.86,1.54,Houston
192,36,Female,10.53,2.92,20,2.88,2.59,0.18,Phoenix
193,19,Male,11.93,12.08,4,2.15,3.07,1.62,Houston
194,43,Female,9.28,10.24,10,1.38,1.18,2.72,New York
195,49,Female,2.0,12.79,13,3.84,2.42,2.76,Houston
196,23,Female,4.18,2.72,3,1.13,2.15,1.78,Phoenix
197,49,Male,2.2,8.71,24,3.46,0.37,2.24,New York
198,21,Male,8.16,8.79,8,1.17,0.53,4.83,Chicago
199,28,Male,9.42,5.59,18,3.13,4.19,1.89,New York
200,34,Female,11.18,6.96,29,3.74,1.2,1.29,Los Angeles
201,55,Female,5.82,1.49,22,1.09,0.97,1.22,New York
202,41,Female,10.92,10.7,14,0.3,2.52,2.29,Chicago
203,22,Male,10.66,8.14,13,0.65,3.84,3.8,Houston
204,51,Male,4.49,1.75,29,3.03,0.31,1.03,New York
205,23,Female,10.56,9.85,12,4.25,2.88,3.55,New York
206,39,Male,5.13,7.07,5,0.22,0.6,0.11,New York
207,28,Male,4.27,1.45,15,3.67,0.18,2.09,New York
208,33,Male,8.14,13.6,29,1.71,0.26,3.88,Chicago
209,50,Male,4.61,13.34,5,2.39,4.17,1.69,Phoenix
210,26,Female,7.93,7.67,17,4.64,0.59,2.82,Phoenix
211,23,Male,7.71,2.22,18,1.66,0.23,1.02,New York
212,33,Male,7.2,10.81,15,2.33,2.19,3.71,Chicago
213,46,Male,5.18,7.4,19,0.07,4.22,0.26,Chicago
214,20,Male,7.03,4.93,5,0.41,1.31,4.26,New York
215,37,Female,7.56,7.39,22,1.29,2.11,0.99,Los Angeles
216,53,Female,7.0,7.79,13,0.14,0.2,4.37,New York
217,36,Male,5.89,8.32,29,3.16,2.25,1.76,Los Angeles
218,43,Male,1.16,6.74,23,2.13,2.89,3.61,New York
219,20,Male,7.46,8.87,21,2.74,2.85,1.6,Los Angeles
220,36,Male,2.85,12.94,24,0.87,1.66,4.53,Los Angeles
221,37,Male,8.07,5.71,13,1.48,1.58,0.63,New York
222,49,Male,9.35,10.43,18,3.32,0.53,0.89,Los Angeles
223,24,Female,6.5,12.63,23,4.83,1.83,2.47,Houston
224,58,Male,6.97,6.93,5,0.25,0.5,0.41,Phoenix
225,50,Female,11.47,6.76,24,4.45,3.83,0.98,Chicago
226,57,Female,10.32,8.83,8,2.88,4.83,4.72,Los Angeles
227,56,Male,11.06,8.69,16,2.82,4.85,4.88,Los Angeles
228,35,Female,9.95,11.49,26,2.5,4.33,1.88,Chicago
229,57,Female,2.2,7.19,20,0.35,3.0,4.62,Los Angeles
230,18,Female,2.64,13.95,19,0.45,3.5,2.72,Chicago
231,28,Female,6.79,1.77,6,3.0,1.43,1.35,New York
232,45,Female,3.71,1.04,25,1.7,3.15,3.51,Houston
233,42,Female,6.24,9.32,17,4.59,2.28,3.29,Houston
234,40,Male,5.34,4.88,13,2.03,2.41,4.95,Phoenix
235,48,Female,7.04,4.12,28,0.72,3.79,1.33,Los Angeles
236,47,Female,9.22,5.05,5,3.57,1.41,3.36,Phoenix
237,59,Female,8.87,4.33,5,1.47,1.59,0.26,New York
238,52,Male,6.73,1.4,18,2.63,4.62,0.57,Houston
239,24,Female,10.05,13.63,7,3.49,0.28,0.02,New York
240,33,Male,5.74,3.87,23,4.5,2.43,5.0,New York
241,43,Female,10.86,10.54,12,3.96,4.56,4.01,Los Angeles
242,19,Male,1.78,10.91,21,3.38,3.05,3.93,New York
243,18,Male,11.5,13.08,27,3.4,2.73,2.55,Houston
244,29,Female,8.2,1.4,6,4.73,1.25,1.5,Phoenix
245,22,Female,5.18,12.34,21,1.48,1.72,0.76,Houston
246,54,Male,3.17,7.85,13,0.01,4.26,1.42,Los Angeles
247,49,Female,6.27,9.22,4,1.36,2.8,1.88,Houston
248,26,Male,3.14,9.38,12,1.09,2.57,3.78,Chicago
249,58,Male,2.83,11.66,13,3.31,0.5,2.7,Phoenix
250,52,Male,7.79,5.33,27,3.17,0.08,0.39,Chicago
251,36,Male,6.75,10.53,22,2.97,4.82,0.09,Chicago
252,33,Male,8.37,7.87,18,0.08,1.88,0.51,Los Angeles
253,20,Female,11.23,11.31,21,3.64,3.02,2.05,New York
254,37,Male,6.85,13.88,25,1.62,0.4,4.67,Chicago
255,41,Male,7.39,3.61,26,3.33,3.42,3.19,Houston
256,50,Female,1.99,13.93,13,2.78,4.66,4.01,New York
257,41,Male,8.89,2.17,16,1.71,2.88,2.33,Houston
258,28,Female,5.4,1.03,4,0.67,0.63,1.81,Houston
259,25,Female,11.74,1.57,25,0.47,2.91,0.54,New York
260,53,Female,10.05,5.44,7,4.16,3.83,4.38,New York
261,55,Male,6.75,9.23,29,4.59,2.03,3.92,Houston
262,57,Male,2.36,1.9,7,3.25,4.4,0.84,Los Angeles
263,37,Male,10.45,1.07,21,0.52,3.24,2.56,Phoenix
264,52,Female,9.8,13.18,23,2.01,4.5,2.44,Phoenix
265,42,Male,3.03,11.69,14,3.64,3.12,3.13,Los Angeles
266,52,Female,4.25,11.52,20,3.9,0.66,4.73,New York
267,42,Male,9.73,12.5,6,0.59,1.55,2.9,Houston
268,46,Female,3.04,10.1,24,0.0,1.01,2.7,Phoenix
269,35,Male,11.1,2.36,19,3.56,4.54,0.25,Houston
270,35,Male,5.67,6.19,12,1.78,3.8,0.31,Los Angeles
271,19,Male,1.96,10.4,22,1.27,3.38,0.94,Houston
272,52,Female,9.97,4.64,8,0.06,1.5,0.16,Los Angeles
273,33,Female,5.11,9.94,27,2.7,0.92,3.72,New York
274,58,Male,6.79,1.32,16,4.26,3.78,3.62,Los Angeles
275,53,Male,2.24,4.98,13,4.79,2.37,0.68,Los Angeles
276,50,Female,1.03,8.14,13,2.83,1.13,4.18,Phoenix
277,21,Female,8.02,9.22,20,2.57,3.08,0.77,Houston
278,50,Female,6.67,8.5,29,0.43,0.2,1.51,Phoenix
279,31,Male,7.53,10.07,25,2.74,1.63,1.24,Chicago
280,38,Female,9.73,1.08,24,1.9,2.34,1.86,Los Angeles
281,37,Male,8.11,2.31,20,3.04,0.74,1.27,Chicago
282,25,Female,2.92,12.3,26,1.94,4.92,2.44,Phoenix
283,24,Male,4.97,9.86,25,1.2,1.05,2.04,Houston
284,20,Female,10.96,2.47,13,0.47,0.65,4.93,Phoenix
285,34,Female,9.47,11.95,23,1.57,1.02,0.28,Houston
286,50,Female,7.12,4.15,14,0.48,3.85,0.71,Houston
287,29,Female,3.81,7.22,7,0.88,2.13,0.26,New York
288,39,Female,4.32,2.89,25,4.94,2.83,3.13,Los Angeles
289,39,Male,9.05,10.23,11,2.22,0.11,0.27,Phoenix
290,47,Female,10.36,9.67,29,2.66,0.17,4.18,Houston
291,55,Female,8.39,3.74,27,4.37,2.23,2.56,Phoenix
292,55,Female,9.9,12.22,11,4.98,4.08,2.64,Phoenix
293,25,Male,9.43,6.22,24,2.91,4.43,2.81,Houston
294,44,Female,2.65,4.8,12,4.06,0.43,0.85,Chicago
295,44,Male,5.66,2.98,24,1.63,2.69,0.99,Los Angeles
296,51,Female,2.68,4.46,21,1.53,4.57,1.59,Los Angeles
297,38,Female,3.59,1.29,3,2.01,1.94,2.97,New York
298,47,Male,10.56,8.58,9,3.36,4.15,1.05,New York
299,50,Female,6.2,11.95,6,3.41,0.67,0.58,New York
300,45,Male,6.89,8.14,3,1.58,4.68,4.85,Los Angeles
301,50,Male,2.96,3.85,17,0.67,3.76,0.11,Chicago
302,22,Female,4.43,1.44,10,3.16,4.71,4.01,Los Angeles
303,36,Male,3.53,3.79,14,0.64,3.38,3.94,Los Angeles
304,21,Female,3.27,6.41,24,2.89,1.82,1.49,Los Angeles
305,52,Female,8.02,10.87,24,3.47,4.69,0.68,Los Angeles
306,34,Male,3.83,3.44,20,3.5,1.38,0.73,Chicago
307,45,Male,7.95,10.36,17,3.77,1.66,3.49,New York
308,47,Male,1.64,12.27,19,4.36,3.5,3.21,Phoenix
309,46,Male,2.56,6.9,16,2.5,3.83,3.91,New York
310,23,Female,4.02,11.68,16,3.65,4.65,4.69,New York
311,52,Female,7.57,8.21,20,3.1,1.02,3.46,Phoenix
312,58,Male,8.43,9.28,22,0.93,3.99,0.78,Los Angeles
313,54,Female,5.87,7.84,20,0.13,3.69,1.22,Chicago
314,41,Female,5.9,7.02,18,1.42,0.32,4.21,Chicago
315,46,Female,8.97,4.05,3,2.22,1.94,1.05,New York
316,48,Female,1.17,4.94,25,3.09,1.41,0.36,Phoenix
317,52,Male,4.75,4.77,29,4.25,1.52,3.52,Houston
318,50,Male,10.01,8.32,13,0.98,4.91,2.01,Los Angeles
319,38,Female,7.64,2.56,17,0.63,3.21,4.6,New York
320,49,Male,4.71,12.92,14,4.82,3.59,3.25,Chicago
321,40,Male,10.96,10.37,10,0.54,4.88,0.45,Phoenix
322,50,Male,9.5,6.22,24,2.39,1.89,4.74,Phoenix
323,20,Female,3.91,3.06,22,2.93,4.01,1.29,New York
324,35,Female,8.1,12.47,8,2.71,2.17,1.69,Houston
325,42,Female,7.55,11.71,5,0.43,4.35,2.01,Chicago
326,59,Male,5.41,10.38,26,0.29,0.9,0.26,New York
327,48,Female,5.04,4.53,28,0.53,4.74,2.48,Houston
328,20,Female,4.78,6.23,15,2.93,1.09,0.62,Phoenix
329,57,Male,7.79,2.34,15,2.72,1.63,2.0,Los Angeles
330,41,Female,5.87,3.46,4,1.17,3.78,1.75,Chicago
331,49,Female,10.15,11.18,7,3.19,1.97,3.86,Chicago
332,39,Male,8.37,10.3,19,4.1,3.04,4.02,Houston
333,40,Male,1.77,8.72,8,0.21,2.22,0.77,New York
334,19,Male,8.04,12.64,4,2.49,3.71,1.83,Phoenix
335,44,Female,3.98,8.58,6,3.45,1.14,1.87,Houston
336,59,Female,7.52,7.07,24,1.26,0.29,0.76,Los Angeles
337,19,Female,8.48,5.42,28,1.54,1.5,3.99,Los Angeles
338,43,Male,3.54,13.23,13,3.07,2.37,3.54,Los Angeles
339,34,Male,6.03,2.08,10,4.49,0.84,0.95,Houston
340,57,Female,3.09,13.1,14,4.05,1.77,1.83,Phoenix
341,50,Female,1.58,11.75,10,2.92,2.0,0.53,Chicago
342,26,Male,5.16,2.69,13,3.65,0.29,3.14,New York
343,56,Male,4.99,8.34,24,1.82,2.92,0.61,Chicago
344,46,Male,11.95,12.27,22,3.2,4.42,4.93,Phoenix
345,59,Male,5.91,8.43,10,2.33,0.76,3.9,Chicago
346,43,Female,4.67,12.79,10,0.95,2.99,1.95,Houston
347,52,Male,7.39,13.26,28,3.51,3.32,2.89,Los Angeles
348,42,Female,1.98,6.49,19,2.78,2.1,4.56,Phoenix
349,41,Female,11.58,5.91,22,1.79,3.51,2.77,Phoenix
350,30,Female,7.98,13.17,22,4.56,2.05,0.87,Chicago
351,24,Male,9.3,9.78,25,0.1,2.52,1.89,Houston
352,53,Male,2.88,2.51,18,1.58,0.04,4.22,Chicago
353,37,Male,5.5,1.55,16,0.28,3.46,3.22,Chicago
354,18,Male,5.65,8.34,13,3.83,3.31,3.25,Phoenix
355,25,Female,10.04,13.09,9,3.51,0.19,4.33,Chicago
356,33,Male,1.01,11.98,18,1.66,1.84,4.47,Los Angeles
357,31,Male,4.31,9.79,15,3.38,4.9,4.6,Chicago
358,29,Female,11.79,2.81,29,1.98,2.1,0.47,Los Angeles
359,40,Male,6.22,4.31,17,3.78,2.51,2.72,Phoenix
360,32,Female,5.21,12.38,26,2.27,4.55,3.7,Houston
361,45,Female,2.32,3.38,18,2.06,3.59,3.78,Los Angeles
362,51,Female,11.72,4.62,29,4.67,2.91,3.03,Houston
363,19,Female,1.22,2.68,23,1.25,3.99,0.83,Houston
364,49,Female,9.11,9.79,25,0.6,4.32,3.99,Los Angeles
365,40,Female,9.45,13.27,26,2.92,2.28,3.6,Phoenix
366,39,Female,3.68,4.5,11,4.85,2.38,0.43,New York
367,42,Female,8.39,7.18,5,1.89,1.93,2.32,Houston
368,39,Male,2.02,9.25,21,0.31,4.83,0.87,Houston
369,39,Male,3.83,13.99,22,1.7,3.49,1.69,Phoenix
370,59,Male,9.67,2.36,7,2.53,0.42,0.09,Phoenix
371,23,Male,10.51,7.48,12,0.81,4.31,2.0,Chicago
372,32,Female,7.69,6.01,19,3.29,2.4,2.75,Phoenix
373,54,Male,6.58,12.26,17,4.99,0.34,3.1,Houston
374,50,Female,2.75,7.19,25,2.26,2.75,3.32,Los Angeles
375,25,Male,1.69,2.44,27,1.77,2.09,4.18,New York
376,22,Male,2.29,9.25,10,2.0,4.39,1.08,Chicago
377,56,Male,3.5,11.02,17,0.58,1.02,0.6,Los Angeles
378,21,Female,4.76,1.04,23,4.42,4.13,4.26,New York
379,23,Male,5.19,12.17,16,2.07,2.79,0.78,New York
380,49,Female,4.81,3.42,22,1.94,0.27,4.87,New York
381,47,Female,3.63,8.18,9,3.3,4.86,4.21,Los Angeles
382,52,Male,6.61,6.41,23,2.21,2.56,2.5,Chicago
383,57,Male,10.08,10.36,25,3.24,1.45,4.91,Chicago
384,33,Male,4.08,5.83,14,0.31,2.35,0.49,New York
385,30,Female,11.37,12.31,19,4.07,4.29,1.52,Los Angeles
386,59,Male,10.61,10.5,19,4.7,1.52,3.19,New York
387,47,Female,2.78,9.42,12,3.24,0.96,1.75,Phoenix
388,36,Female,9.65,11.35,21,4.77,0.65,4.64,Chicago
389,34,Male,7.32,10.8,16,0.76,1.49,0.33,Houston
390,36,Male,7.23,1.47,13,2.39,3.9,2.75,New York
391,45,Female,5.3,6.13,4,3.01,2.36,2.95,Phoenix
392,43,Female,6.51,13.1,20,2.91,1.14,3.26,Chicago
393,54,Female,5.37,2.63,9,2.01,0.83,1.28,Los Angeles
394,43,Male,6.94,10.58,14,1.69,1.66,1.82,Chicago
395,40,Female,7.91,13.67,28,0.63,4.7,4.22,Los Angeles
396,26,Male,8.42,1.68,4,1.96,1.72,0.97,Los Angeles
397,29,Female,6.86,9.87,29,0.81,4.94,4.13,New York
398,18,Female,8.94,7.09,22,3.67,2.43,2.81,New York
399,18,Male,2.55,8.53,20,1.04,0.9,3.81,Chicago
400,51,Female,3.33,2.11,8,0.29,4.46,3.57,Phoenix
401,49,Male,10.01,1.56,26,2.76,2.3,1.04,Chicago
402,42,Male,4.55,9.67,12,2.98,3.55,2.84,Houston
403,57,Female,1.25,11.7,22,4.36,4.92,4.34,Los Angeles
404,18,Male,2.69,11.17,17,2.88,0.25,2.16,Los Angeles
405,33,Male,3.46,8.07,7,1.73,0.48,4.83,New York
406,56,Female,11.53,2.3,22,4.02,3.6,2.26,Phoenix
407,22,Male,7.3,9.94,5,2.7,1.41,0.71,New York
